,date,rates
NIO,2022-06-09,38.020798
NOK,2022-06-09,10.18148
NPR,2022-06-09,132.092917
NZD,2022-06-09,1.6632129999999998
OMR,2022-06-09,0.408831
PAB,2022-06-09,1.061847
PEN,2022-06-09,3.985305
PGK,2022-06-09,3.73802
PHP,2022-06-09,56.452544
PKR,2022-06-09,214.604173
PLN,2022-06-09,4.605455
PYG,2022-06-09,7244.90575
QAR,2022-06-09,3.866352
RON,2022-06-09,4.942548
RSD,2022-06-09,117.306441
RUB,2022-06-09,61.589645
RWF,2022-06-09,1093.743126
SAR,2022-06-09,3.9825809999999997
SBD,2022-06-09,8.61926
SCR,2022-06-09,14.169088
SDG,2022-06-09,484.752447
SEK,2022-06-09,10.528706
SGD,2022-06-09,1.467989
SHP,2022-06-09,1.462639
SLL,2022-06-09,13963.808156
SOS,2022-06-09,619.61265
SRD,2022-06-09,23.17465
STD,2022-06-09,21978.907241
SVC,2022-06-09,9.291532
SYP,2022-06-09,2667.937363
SZL,2022-06-09,16.363687
THB,2022-06-09,36.722169
TJS,2022-06-09,11.706298
TMT,2022-06-09,3.727222
TND,2022-06-09,3.232915
TOP,2022-06-09,2.457312
TRY,2022-06-09,18.314564
TTD,2022-06-09,7.21273
TWD,2022-06-09,31.409222
TZS,2022-06-09,2475.257257
UAH,2022-06-09,31.371605
UGX,2022-06-09,3955.999281
USD,2022-06-09,1.061887
UYU,2022-06-09,42.119494
UZS,2022-06-09,11728.537079
VEF,2022-06-09,227063432916.5312
VND,2022-06-09,24593.292047
VUV,2022-06-09,121.337168
WST,2022-06-09,2.73897
XAF,2022-06-09,650.041438
XAG,2022-06-09,0.049044
XAU,2022-06-09,0.000575
XCD,2022-06-09,2.869802
XDR,2022-06-09,0.789218
XOF,2022-06-09,649.346128
XPF,2022-06-09,119.409398
YER,2022-06-09,265.796234
ZAR,2022-06-09,16.452769
ZMK,2022-06-09,9558.256244
ZMW,2022-06-09,17.998508
ZWL,2022-06-09,341.92703
AED,2022-06-08,3.936576
AFN,2022-06-08,95.173432
ALL,2022-06-08,119.843039
AMD,2022-06-08,461.690549
ANG,2022-06-08,1.930955
AOA,2022-06-08,460.601627
ARS,2022-06-08,130.168894
AUD,2022-06-08,1.491388
AWG,2022-06-08,1.929651
AZN,2022-06-08,1.832456
BAM,2022-06-08,1.9546999999999999
BBD,2022-06-08,2.163341
BDT,2022-06-08,99.590371
BGN,2022-06-08,1.955753
BHD,2022-06-08,0.40407899999999997
BIF,2022-06-08,2203.361908
BMD,2022-06-08,1.071731
BND,2022-06-08,1.4742790000000001
BOB,2022-06-08,7.366196
BRL,2022-06-08,5.251054
BSD,2022-06-08,1.071476
BTC,2022-06-08,3.5495794000000004e-05
BTN,2022-06-08,83.224879
BWP,2022-06-08,12.816329
BYN,2022-06-08,3.615781
BYR,2022-06-08,21005.919927
BZD,2022-06-08,2.159552
CAD,2022-06-08,1.345504
CDF,2022-06-08,2148.819882
CHF,2022-06-08,1.049106
CLF,2022-06-08,0.031917
CLP,2022-06-08,880.694941
CNY,2022-06-08,7.163123
COP,2022-06-08,4071.129476
CRC,2022-06-08,730.842403
CUC,2022-06-08,1.071731
CUP,2022-06-08,28.400861
CVE,2022-06-08,110.212616
CZK,2022-06-08,24.696425
DJF,2022-06-08,190.467807
DKK,2022-06-08,7.438129
DOP,2022-06-08,58.993135
DZD,2022-06-08,155.516107
EGP,2022-06-08,20.03086
ERN,2022-06-08,16.07596
ETB,2022-06-08,55.710503
EUR,2022-06-08,1.0
FJD,2022-06-08,2.325863
FKP,2022-06-08,0.8770300000000001
