,date,rates
XPF,2022-04-01,119.87969
YER,2022-04-01,276.487934
ZAR,2022-04-01,16.118213
ZMK,2022-04-01,9944.937317
ZMW,2022-04-01,19.818194
ZWL,2022-04-01,355.75973
AED,2022-03-01,4.089166
AFN,2022-03-01,102.153365
ALL,2022-03-01,121.057134
AMD,2022-03-01,539.782814
ANG,2022-03-01,2.005723
AOA,2022-03-01,552.821732
ARS,2022-03-01,119.565559
AUD,2022-03-01,1.53386
AWG,2022-03-01,2.004174
AZN,2022-03-01,1.892388
BAM,2022-03-01,1.9477129999999998
BBD,2022-03-01,2.247135
BDT,2022-03-01,95.683486
BGN,2022-03-01,1.956098
BHD,2022-03-01,0.41978099999999996
BIF,2022-03-01,2225.037306
BMD,2022-03-01,1.113276
BND,2022-03-01,1.5095290000000001
BOB,2022-03-01,7.651345
BRL,2022-03-01,5.745505
BSD,2022-03-01,1.112962
BTC,2022-03-01,2.5067251e-05
BTN,2022-03-01,84.250592
BWP,2022-03-01,12.963617
BYN,2022-03-01,3.323295
BYR,2022-03-01,21820.199848
BZD,2022-03-01,2.243361
CAD,2022-03-01,1.417239
CDF,2022-03-01,2242.695221
CHF,2022-03-01,1.022653
CLF,2022-03-01,0.032547
CLP,2022-03-01,898.06787
CNY,2022-03-01,7.027552
COP,2022-03-01,4322.481395
CRC,2022-03-01,714.701532
CUC,2022-03-01,1.113276
CUP,2022-03-01,29.501801
CVE,2022-03-01,109.807877
CZK,2022-03-01,25.410066
DJF,2022-03-01,197.851683
DKK,2022-03-01,7.439682
DOP,2022-03-01,60.620822
DZD,2022-03-01,157.822367
EGP,2022-03-01,17.486443
ERN,2022-03-01,16.699154
ETB,2022-03-01,57.057473
EUR,2022-03-01,1.0
FJD,2022-03-01,2.367269
FKP,2022-03-01,0.810376
GBP,2022-03-01,0.835035
GEL,2022-03-01,3.529273
GGP,2022-03-01,0.810375
GHS,2022-03-01,7.592991
GIP,2022-03-01,0.810375
GMD,2022-03-01,59.059347
GNF,2022-03-01,9988.617997
