,date,rates
PEN,2022-04-24,4.051993
PEN,2022-04-20,4.023541
PEN,2022-04-22,4.068665
PGK,2022-04-25,3.760829
PGK,2022-04-20,3.808074
PGK,2022-04-24,3.8195769999999998
PGK,2022-04-21,3.838827
PGK,2022-04-26,3.7375119999999997
PGK,2022-04-22,3.790982
PGK,2022-04-23,3.815575
PHP,2022-04-20,56.884118
PHP,2022-04-24,56.669318
PHP,2022-04-21,56.931531
PHP,2022-04-25,56.310476
PHP,2022-04-26,55.64184
PHP,2022-04-23,56.524278
PHP,2022-04-22,56.740266
PKR,2022-04-24,201.893286
PKR,2022-04-26,199.898198
PKR,2022-04-23,201.681713
PKR,2022-04-22,202.758472
PKR,2022-04-20,201.854969
PKR,2022-04-25,200.268965
PKR,2022-04-21,203.572255
PLN,2022-04-23,4.653872
PLN,2022-04-25,4.642311
PLN,2022-04-24,4.645476
PLN,2022-04-21,4.639107
PLN,2022-04-22,4.654682
PLN,2022-04-26,4.698592
PLN,2022-04-20,4.640499
PYG,2022-04-21,7464.354012
PYG,2022-04-24,7399.221963
PYG,2022-04-25,7321.91151
PYG,2022-04-22,7367.153726
PYG,2022-04-20,7436.182455
PYG,2022-04-26,7274.854684
PYG,2022-04-23,7391.46799
QAR,2022-04-20,3.950281
QAR,2022-04-24,3.936154
QAR,2022-04-21,3.9449170000000002
QAR,2022-04-25,3.900875
QAR,2022-04-26,3.876618
QAR,2022-04-22,3.93209
QAR,2022-04-23,3.93209
RON,2022-04-21,4.943714
RON,2022-04-22,4.943737
RON,2022-04-20,4.943797
RON,2022-04-24,4.929461
RON,2022-04-26,4.946392
RON,2022-04-23,4.943737
RON,2022-04-25,4.946488
RSD,2022-04-23,117.814161
RSD,2022-04-20,117.646709
RSD,2022-04-25,117.605824
RSD,2022-04-24,117.937753
RSD,2022-04-26,117.686788
RSD,2022-04-21,117.677058
RSD,2022-04-22,117.814161
RUB,2022-04-25,81.184285
